item,subj,onset,Exp,structure,position,ExpID
8,7,1337,3a,complex,above,1
8,2,907,3a,complex,above,1
44,10,880,3a,complex,above,1
44,9,1452,3a,complex,above,1
44,11,976,3a,complex,above,1
44,6,NA,3a,complex,above,1
44,7,739,3a,complex,above,1
44,2,956,3a,complex,above,1
23,10,721,3a,complex,above,1
23,9,1903,3a,complex,above,1
23,11,1533,3a,complex,above,1
23,6,NA,3a,complex,above,1
23,7,738,3a,complex,above,1
23,2,983,3a,complex,above,1
26,10,984,3a,complex,above,1
26,9,1187,3a,complex,above,1
26,11,904,3a,complex,above,1
26,6,1141,3a,complex,above,1
26,7,844,3a,complex,above,1
26,2,928,3a,complex,above,1
38,10,1415,3a,complex,above,1
38,9,1246,3a,complex,above,1
38,11,NA,3a,complex,above,1
38,6,933,3a,complex,above,1
38,7,1196,3a,complex,above,1
38,2,1143,3a,complex,above,1
2,10,866,3a,complex,above,1
2,9,1199,3a,complex,above,1
2,11,1629,3a,complex,above,1
2,6,838,3a,complex,above,1
2,7,906,3a,complex,above,1
2,2,1124,3a,complex,above,1
17,10,822,3a,complex,above,1
17,9,980,3a,complex,above,1
17,11,NA,3a,complex,above,1
17,6,1026,3a,complex,above,1
17,7,755,3a,complex,above,1
17,2,1230,3a,complex,above,1
31,10,1412,3a,complex,above,1
31,9,1050,3a,complex,above,1
31,11,1477,3a,complex,above,1
31,6,1362,3a,complex,above,1
31,7,774,3a,complex,above,1
31,2,1020,3a,complex,above,1
7,10,1069,3a,complex,above,1
7,9,1157,3a,complex,above,1
7,11,1636,3a,complex,above,1
7,6,818,3a,complex,above,1
7,7,NA,3a,complex,above,1
7,2,927,3a,complex,above,1
18,10,845,3a,complex,above,1
18,9,937,3a,complex,above,1
18,11,1714,3a,complex,above,1
18,6,870,3a,complex,above,1
18,7,NA,3a,complex,above,1
18,2,1099,3a,complex,above,1
41,10,602,3a,complex,above,1
41,9,1304,3a,complex,above,1
41,11,NA,3a,complex,above,1
41,6,885,3a,complex,above,1
41,7,761,3a,complex,above,1
41,2,976,3a,complex,above,1
12,10,1004,3a,complex,above,1
12,9,1113,3a,complex,above,1
12,11,1646,3a,complex,above,1
12,6,940,3a,complex,above,1
12,7,975,3a,complex,above,1
12,2,NA,3a,complex,above,1
34,10,994,3a,complex,above,1
34,9,982,3a,complex,above,1
34,11,464,3a,complex,above,1
34,6,1228,3a,complex,above,1
34,7,833,3a,complex,above,1
34,2,976,3a,complex,above,1
46,10,1021,3a,complex,above,1
46,9,1334,3a,complex,above,1
46,11,341,3a,complex,above,1
46,6,992,3a,complex,above,1
