item,ppt,rt,nptype
43,4,878,simple
48,8,904,simple
48,5,958,simple
48,12,783,simple
48,1,978,simple
48,4,1107,simple
11,8,1116,conjoined
11,5,1105,conjoined
11,12,1159,conjoined
11,1,1144,conjoined
11,3,1282,conjoined
11,4,1645,conjoined
25,8,802,conjoined
25,5,971,conjoined
25,12,927,conjoined
25,1,1808,conjoined
25,3,986,conjoined
25,4,1016,conjoined
37,8,908,conjoined
37,5,1156,conjoined
37,12,1101,conjoined
37,1,985,conjoined
37,3,1661,conjoined
37,4,894,conjoined
5,8,881,conjoined
5,5,530,conjoined
5,3,903,conjoined
5,4,772,conjoined
10,8,861,conjoined
10,5,1261,conjoined
10,12,814,conjoined
10,1,1132,conjoined
10,3,821,conjoined
10,4,787,conjoined
21,8,964,conjoined
21,5,1210,conjoined
21,1,1118,conjoined
21,4,1893,conjoined
36,8,863,conjoined
36,5,1140,conjoined
36,12,744,conjoined
36,1,1068,conjoined
36,3,1099,conjoined
39,8,1027,conjoined
39,3,901,conjoined
39,4,953,conjoined
45,8,1002,conjoined
45,5,894,conjoined
45,12,887,conjoined
45,1,2044,conjoined
45,3,1203,conjoined
45,4,891,conjoined
3,8,1007,conjoined
3,5,1331,conjoined
3,12,770,conjoined
3,1,2106,conjoined
3,3,1523,conjoined
3,4,939,conjoined
20,8,878,conjoined
20,5,1308,conjoined
20,12,894,conjoined
20,3,969,conjoined
20,4,1058,conjoined
47,8,936,conjoined
47,5,1443,conjoined
47,1,1100,conjoined
47,3,1315,conjoined
47,4,942,conjoined
13,8,919,conjoined
13,5,1137,conjoined
13,12,711,conjoined
13,1,759,conjoined
13,3,1163,conjoined
13,4,798,conjoined
19,8,893,conjoined
19,5,1025,conjoined
19,1,1603,conjoined
19,3,1056,conjoined
19,4,1172,conjoined
35,8,920,conjoined
35,5,1297,conjoined
35,12,734,conjoined
35,1,954,conjoined
35,3,917,conjoined
35,4,970,conjoined
1,8,864,conjoined
1,5,1049,conjoined
1,12,934,conjoined
1,1,1301,conjoined
1,3,924,conjoined
1,4,867,conjoined
9,8,1127,conjoined
9,5,995,conjoined
9,12,969,conjoined
9,1,1419,conjoined
9,3,929,conjoined
32,8,1357,conjoined
32,5,1252,conjoined
32,12,1051,conjoined
32,1,1418,conjoined
32,4,1289,conjoined
16,8,1018,conjoined
16,5,1216,conjoined
16,12,918,conjoined
16,1,1557,conjoined
16,3,1400,conjoined
16,4,1117,conjoined
22,8,1027,conjoined
22,5,1069,conjoined
22,12,912,conjoined
22,1,1347,conjoined
22,3,1070,conjoined
22,4,1068,conjoined
24,8,1010,conjoined
24,5,829,conjoined
24,12,1460,conjoined
24,1,1090,conjoined
24,3,1334,conjoined
24,4,900,conjoined
29,5,1401,conjoined
29,12,1003,conjoined
29,1,1222,conjoined
29,3,933,conjoined
29,4,1078,conjoined
33,8,1137,conjoined
33,5,978,conjoined
33,1,1208,conjoined
33,3,1203,conjoined
42,8,878,conjoined
42,5,969,conjoined
42,12,822,conjoined
42,1,1285,conjoined
